CustomerID,Gender,Age,Location,Tenure_Months,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportCalls_Last6Mo,SatisfactionScore,Referrals,AccountStartDate,ChurnDate,Churned,HasSatisfactionScore,TenureYears,AvgMonthlySpend,AgeGroup,TenureGroup,ChurnStatus,ChargesBin,SupportBins,RiskScore,RiskCategory
CUST_000011,Male,74,Rural,4,Two Year,56.76,227.04,Bank Transfer (Automatic),Yes,Yes,No,Fiber Optic,No,No,No,No,No,No,1,7.7,0,2024-07-03,,0,1,0.3333333333333333,56.76,65+,0-6 mo,Retained,$40-60,1-2 calls,4,Medium
CUST_000012,Female,50,Suburban,11,Month-to-Month,70.49,775.39,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,1,,0,2023-12-06,2024-10-18,1,0,0.9166666666666666,70.49,46-55,7-12 mo,Churned,$60-80,1-2 calls,7,High
CUST_000013,Female,33,Urban,19,One Year,74.69,1419.11,Bank Transfer (Automatic),Yes,No,No Phone Service,Fiber Optic,No,Yes,No,No,Yes,No,1,,0,2023-04-10,,0,0,1.5833333333333333,74.69,26-35,1-2 yr,Retained,$60-80,1-2 calls,3,Low
CUST_000014,Male,32,Suburban,39,One Year,36.65,1429.35,Electronic Check,Yes,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,4.9,0,2021-08-18,,0,1,3.25,36.65,26-35,2-4 yr,Retained,$0-40,1-2 calls,3,Low
CUST_000015,Male,40,Urban,26,Month-to-Month,62.52,1625.52,Electronic Check,No,Yes,Yes,DSL,No,No,No,No,No,No,1,7.9,0,2022-09-12,2024-10-08,1,1,2.1666666666666665,62.519999999999996,36-45,2-4 yr,Churned,$60-80,1-2 calls,7,High
CUST_000016,Male,38,Urban,30,Month-to-Month,32.62,978.6,Electronic Check,Yes,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,,0,2022-05-15,2024-10-16,1,0,2.5,32.62,36-45,2-4 yr,Churned,$0-40,0 calls,5,Medium
CUST_000017,Male,58,Rural,39,Two Year,73.74,2875.86,Credit Card (Automatic),No,Yes,Yes,Fiber Optic,No,No,No,No,No,No,2,6.2,0,2021-08-18,,0,1,3.25,73.74000000000001,56-65,2-4 yr,Retained,$60-80,1-2 calls,2,Low
CUST_000018,Female,44,Urban,1,Month-to-Month,34.08,34.08,Electronic Check,No,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,5.7,0,2024-10-01,,0,1,0.08333333333333333,34.08,36-45,0-6 mo,Retained,$0-40,1-2 calls,7,High
CUST_000019,Male,31,Urban,12,Month-to-Month,57.1,685.2,Electronic Check,Yes,Yes,No,DSL,No,No,No,No,No,No,2,6.1,1,2023-11-06,,0,1,1.0,57.1,26-35,7-12 mo,Retained,$40-60,1-2 calls,8,High
CUST_000020,Male,70,Urban,42,One Year,55.89,2347.38,Credit Card (Automatic),No,Yes,Yes,DSL,Yes,No,No,No,No,No,0,4.5,0,2021-05-20,,0,1,3.5,55.89,65+,2-4 yr,Retained,$40-60,0 calls,2,Low
CUST_000021,Female,42,Urban,1,One Year,72.11,72.11,Mailed Check,No,No,No Phone Service,DSL,No,No,Yes,No,Yes,Yes,2,,0,2024-10-01,,0,0,0.08333333333333333,72.11,36-45,0-6 mo,Retained,$60-80,1-2 calls,5,Medium
CUST_000022,Male,53,Rural,24,Month-to-Month,72.62,1742.88,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,Yes,Yes,No,No,Yes,0,3.1,2,2022-11-11,,0,1,2.0,72.62,46-55,1-2 yr,Retained,$60-80,0 calls,5,Medium
CUST_000023,Male,32,Urban,6,Month-to-Month,83.25,499.5,Credit Card (Automatic),No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,2,6.8,0,2024-05-04,,0,1,0.5,83.25,26-35,0-6 mo,Retained,$80-100,1-2 calls,8,High
CUST_000024,Male,47,Rural,25,Month-to-Month,47.35,1183.75,Bank Transfer (Automatic),No,No,No Phone Service,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,6.6,1,2022-10-12,,0,1,2.0833333333333335,47.35,46-55,2-4 yr,Retained,$40-60,1-2 calls,3,Low
CUST_000025,Male,46,Rural,35,Month-to-Month,92.89,3251.15,Bank Transfer (Automatic),Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,2,,1,2021-12-16,,0,0,2.9166666666666665,92.89,46-55,2-4 yr,Retained,$80-100,1-2 calls,6,Medium
CUST_000026,Female,18,Urban,21,Month-to-Month,31.25,656.25,Mailed Check,No,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,5.5,0,2023-02-09,,0,1,1.75,31.25,18-25,1-2 yr,Retained,$0-40,1-2 calls,3,Low
CUST_000027,Male,72,Urban,39,Month-to-Month,76.81,2995.59,Bank Transfer (Automatic),No,Yes,No,Fiber Optic,No,No,No,Yes,No,No,2,6.9,2,2021-08-18,,0,1,3.25,76.81,65+,2-4 yr,Retained,$60-80,1-2 calls,4,Medium
CUST_000028,Female,61,Rural,12,Month-to-Month,75.59,907.08,Credit Card (Automatic),Yes,No,No Phone Service,DSL,Yes,Yes,No,No,Yes,No,2,8.8,1,2023-11-06,,0,1,1.0,75.59,56-65,7-12 mo,Retained,$60-80,1-2 calls,5,Medium
CUST_000029,Female,36,Urban,48,Two Year,93.04,4465.92,Credit Card (Automatic),No,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,2,,1,2020-11-21,,0,0,4.0,93.04,36-45,2-4 yr,Retained,$80-100,1-2 calls,3,Low
CUST_000030,Male,25,Urban,1,One Year,36.22,36.22,Bank Transfer (Automatic),Yes,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,0,8.8,0,2024-10-01,,0,1,0.08333333333333333,36.22,18-25,0-6 mo,Retained,$0-40,0 calls,3,Low
CUST_000031,Female,47,Urban,28,Two Year,108.23,3030.44,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,2,6.3,0,2022-07-14,2024-10-07,1,1,2.3333333333333335,108.23,46-55,2-4 yr,Churned,$100+,1-2 calls,4,Medium
CUST_000032,Male,43,Suburban,27,Month-to-Month,48.04,1297.08,Credit Card (Automatic),Yes,Yes,No,DSL,No,No,No,No,No,No,1,7.5,0,2022-08-13,,0,1,2.25,48.04,36-45,2-4 yr,Retained,$40-60,1-2 calls,5,Medium
CUST_000033,Male,47,Suburban,23,Month-to-Month,42.67,981.41,Electronic Check,No,No,No Phone Service,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,3.9,0,2022-12-11,,0,1,1.9166666666666667,42.67,46-55,1-2 yr,Retained,$40-60,1-2 calls,5,Medium
CUST_000034,Female,44,Urban,37,Month-to-Month,58.47,2163.39,Mailed Check,Yes,Yes,No,DSL,No,No,No,No,Yes,No,2,8.6,0,2021-10-17,2024-10-06,1,1,3.0833333333333335,58.47,36-45,2-4 yr,Churned,$40-60,1-2 calls,5,Medium
CUST_000035,Female,49,Urban,61,Two Year,93.54,5705.94,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,4,10.0,1,2019-10-28,,0,1,5.083333333333333,93.53999999999999,46-55,4+ yr,Retained,$80-100,3-4 calls,6,Medium
CUST_000036,Female,63,Rural,8,Month-to-Month,95.92,767.36,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,0,4.6,1,2024-03-05,2024-10-10,1,1,0.6666666666666666,95.92,56-65,7-12 mo,Churned,$80-100,0 calls,8,High
CUST_000037,Male,50,Suburban,44,Month-to-Month,82.11,3612.84,Bank Transfer (Automatic),No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,0,6.0,1,2021-03-21,,0,1,3.6666666666666665,82.11,46-55,2-4 yr,Retained,$80-100,0 calls,4,Medium
CUST_000038,Male,26,Suburban,49,Month-to-Month,75.84,3716.16,Electronic Check,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,1,8.7,1,2020-10-22,,0,1,4.083333333333333,75.84,26-35,4+ yr,Retained,$60-80,1-2 calls,6,Medium
CUST_000039,Female,62,Suburban,1,Month-to-Month,52.66,52.66,Electronic Check,Yes,Yes,Yes,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,3,4.4,0,2024-10-01,,0,1,0.08333333333333333,52.66,56-65,0-6 mo,Retained,$40-60,3-4 calls,8,High
CUST_000040,Male,66,Urban,58,Month-to-Month,43.79,2539.82,Electronic Check,Yes,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,8.2,0,2020-01-26,,0,1,4.833333333333333,43.790000000000006,65+,4+ yr,Retained,$40-60,1-2 calls,5,Medium
CUST_000041,Male,85,Suburban,29,Month-to-Month,79.61,2308.69,Mailed Check,No,No,No Phone Service,Fiber Optic,Yes,No,No,Yes,Yes,No,3,4.3,1,2022-06-14,2024-10-03,1,1,2.4166666666666665,79.61,65+,2-4 yr,Churned,$60-80,3-4 calls,4,Medium
CUST_000042,Female,25,Urban,4,Month-to-Month,89.38,357.52,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,1,5.1,0,2024-07-03,2024-10-24,1,1,0.3333333333333333,89.38,18-25,0-6 mo,Churned,$80-100,1-2 calls,7,High
CUST_000043,Male,45,Urban,47,One Year,78.19,3674.93,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,No,3,7.8,1,2020-12-21,,0,1,3.9166666666666665,78.19,36-45,2-4 yr,Retained,$60-80,3-4 calls,3,Low
CUST_000044,Female,18,Suburban,39,Month-to-Month,58.93,2298.27,Bank Transfer (Automatic),No,Yes,No,DSL,Yes,No,No,No,Yes,No,1,,2,2021-08-18,,0,0,3.25,58.93,18-25,2-4 yr,Retained,$40-60,1-2 calls,4,Medium
CUST_000045,Male,50,Urban,18,One Year,100.0,1800.0,Bank Transfer (Automatic),No,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,4,8.2,0,2023-05-10,,0,1,1.5,100.0,46-55,1-2 yr,Retained,$80-100,3-4 calls,4,Medium
CUST_000046,Female,33,Rural,12,Month-to-Month,63.46,761.52,Electronic Check,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,4,7.2,1,2023-11-06,,0,1,1.0,63.46,26-35,7-12 mo,Retained,$60-80,3-4 calls,7,High
CUST_000047,Male,70,Urban,52,Month-to-Month,56.26,2925.52,Bank Transfer (Automatic),No,Yes,Yes,DSL,No,No,No,Yes,No,No,1,,1,2020-07-24,,0,0,4.333333333333333,56.26,65+,4+ yr,Retained,$40-60,1-2 calls,4,Medium
CUST_000048,Female,30,Rural,57,Month-to-Month,75.54,4305.78,Bank Transfer (Automatic),Yes,No,No Phone Service,Fiber Optic,No,No,No,No,No,Yes,0,6.6,1,2020-02-25,,0,1,4.75,75.53999999999999,26-35,4+ yr,Retained,$60-80,0 calls,5,Medium
CUST_000049,Female,18,Rural,1,Month-to-Month,81.06,81.06,Electronic Check,Yes,No,No Phone Service,Fiber Optic,No,Yes,No,No,Yes,No,1,6.1,2,2024-10-01,2024-10-12,1,1,0.08333333333333333,81.06,18-25,0-6 mo,Churned,$80-100,1-2 calls,10,Critical
CUST_000050,Male,34,Urban,48,Month-to-Month,43.77,2100.96,Mailed Check,Yes,Yes,Yes,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,,1,2020-11-21,,0,0,4.0,43.77,26-35,2-4 yr,Retained,$40-60,1-2 calls,3,Low
CUST_000051,Female,18,Suburban,39,Month-to-Month,71.96,2806.44,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,No,No,Yes,No,0,6.6,2,2021-08-18,,0,1,3.25,71.96000000000001,18-25,2-4 yr,Retained,$60-80,0 calls,7,High
CUST_000052,Female,53,Urban,2,One Year,83.91,167.82,Electronic Check,No,No,No Phone Service,Fiber Optic,No,No,No,No,Yes,No,1,5.5,0,2024-09-01,2024-10-06,1,1,0.16666666666666666,83.91,46-55,0-6 mo,Churned,$80-100,1-2 calls,8,High
CUST_000053,Female,18,Rural,50,Month-to-Month,85.69,4284.5,Mailed Check,No,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,1,7.9,0,2020-09-22,,0,1,4.166666666666667,85.69,18-25,4+ yr,Retained,$80-100,1-2 calls,6,Medium
CUST_000054,Female,42,Suburban,1,Month-to-Month,73.1,73.1,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,1,6.0,1,2024-10-01,,0,1,0.08333333333333333,73.1,36-45,0-6 mo,Retained,$60-80,1-2 calls,9,High
CUST_000055,Female,18,Suburban,54,Month-to-Month,89.84,4851.36,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,2,5.2,0,2020-05-25,2024-10-21,1,1,4.5,89.83999999999999,18-25,4+ yr,Churned,$80-100,1-2 calls,8,High
CUST_000056,Female,37,Suburban,15,Month-to-Month,91.04,1365.6,Electronic Check,No,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,1,6.5,1,2023-08-08,2024-10-10,1,1,1.25,91.03999999999999,36-45,1-2 yr,Churned,$80-100,1-2 calls,7,High
CUST_000057,Male,66,Urban,22,Month-to-Month,88.6,1949.2,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,0,5.0,1,2023-01-10,2024-10-22,1,1,1.8333333333333333,88.60000000000001,65+,1-2 yr,Churned,$80-100,0 calls,7,High
CUST_000058,Male,47,Urban,4,Two Year,74.62,298.48,Electronic Check,Yes,No,No Phone Service,Fiber Optic,No,No,Yes,No,No,Yes,1,5.1,1,2024-07-03,,0,1,0.3333333333333333,74.62,46-55,0-6 mo,Retained,$60-80,1-2 calls,6,Medium
CUST_000059,Male,29,Urban,38,Month-to-Month,40.99,1557.62,Bank Transfer (Automatic),No,No,No Phone Service,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,8.9,0,2021-09-17,,0,1,3.1666666666666665,40.989999999999995,26-35,2-4 yr,Retained,$40-60,1-2 calls,3,Low
CUST_000060,Male,41,Suburban,50,Month-to-Month,77.72,3886.0,Electronic Check,No,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,2,4.1,2,2020-09-22,,0,1,4.166666666666667,77.72,36-45,4+ yr,Retained,$60-80,1-2 calls,7,High
CUST_000061,Male,42,Suburban,72,One Year,104.22,7503.84,Credit Card (Automatic),Yes,No,No Phone Service,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,4,9.7,0,2018-12-02,,0,1,6.0,104.22,36-45,4+ yr,Retained,$100+,3-4 calls,3,Low
CUST_000062,Male,49,Suburban,30,One Year,78.65,2359.5,Credit Card (Automatic),Yes,No,No Phone Service,Fiber Optic,No,No,No,Yes,No,Yes,2,,0,2022-05-15,,0,0,2.5,78.65,46-55,2-4 yr,Retained,$60-80,1-2 calls,2,Low
CUST_000063,Female,21,Urban,4,Two Year,71.67,286.68,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,0,,1,2024-07-03,,0,0,0.3333333333333333,71.67,18-25,0-6 mo,Retained,$60-80,0 calls,4,Medium
CUST_000064,Male,50,Suburban,47,Two Year,93.89,4412.83,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,1,7.0,1,2020-12-21,,0,1,3.9166666666666665,93.89,46-55,2-4 yr,Retained,$80-100,1-2 calls,4,Medium
CUST_000065,Male,18,Urban,28,One Year,49.77,1393.56,Credit Card (Automatic),Yes,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,7.2,4,2022-07-14,,0,1,2.3333333333333335,49.769999999999996,18-25,2-4 yr,Retained,$40-60,1-2 calls,1,Low
CUST_000066,Female,32,Rural,24,Two Year,82.02,1968.48,Mailed Check,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,3,6.8,0,2022-11-11,,0,1,2.0,82.02,26-35,1-2 yr,Retained,$80-100,3-4 calls,4,Medium
CUST_000067,Male,34,Rural,54,Month-to-Month,66.68,3600.72,Electronic Check,No,Yes,Yes,DSL,No,No,No,No,No,No,4,6.3,2,2020-05-25,2024-10-04,1,1,4.5,66.67999999999999,26-35,4+ yr,Churned,$60-80,3-4 calls,8,High
CUST_000068,Female,51,Urban,3,One Year,82.63,247.89,Bank Transfer (Automatic),Yes,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,2,5.7,0,2024-08-02,,0,1,0.25,82.63,46-55,0-6 mo,Retained,$80-100,1-2 calls,5,Medium
CUST_000069,Male,42,Urban,3,Two Year,56.89,170.67,Electronic Check,No,No,No Phone Service,DSL,No,No,Yes,No,No,No,2,5.0,2,2024-08-02,,0,1,0.25,56.88999999999999,36-45,0-6 mo,Retained,$40-60,1-2 calls,6,Medium
CUST_000070,Female,20,Urban,27,One Year,62.49,1687.23,Mailed Check,Yes,No,No Phone Service,Fiber Optic,No,No,No,No,No,No,2,5.6,1,2022-08-13,,0,1,2.25,62.49,18-25,2-4 yr,Retained,$60-80,1-2 calls,3,Low
CUST_000071,Female,27,Suburban,37,Two Year,88.01,3256.37,Bank Transfer (Automatic),Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1,9.0,0,2021-10-17,2024-10-13,1,1,3.0833333333333335,88.00999999999999,26-35,2-4 yr,Churned,$80-100,1-2 calls,1,Low
CUST_000072,Male,44,Suburban,11,Month-to-Month,83.17,914.87,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,2,9.7,0,2023-12-06,2024-10-16,1,1,0.9166666666666666,83.17,36-45,7-12 mo,Churned,$80-100,1-2 calls,9,High
CUST_000073,Male,40,Suburban,12,Month-to-Month,86.45,1037.4,Electronic Check,No,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,3,2.5,1,2023-11-06,,0,1,1.0,86.45,36-45,7-12 mo,Retained,$80-100,3-4 calls,9,High
CUST_000074,Female,33,Urban,12,Two Year,75.92,911.04,Credit Card (Automatic),No,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,3,6.6,0,2023-11-06,,0,1,1.0,75.92,26-35,7-12 mo,Retained,$60-80,3-4 calls,3,Low
CUST_000075,Female,34,Suburban,27,Month-to-Month,83.78,2262.06,Bank Transfer (Automatic),Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,1,6.6,0,2022-08-13,,0,1,2.25,83.78,26-35,2-4 yr,Retained,$80-100,1-2 calls,6,Medium
CUST_000076,Female,52,Suburban,35,One Year,75.82,2653.7,Electronic Check,Yes,Yes,No,DSL,No,Yes,No,No,Yes,Yes,1,7.0,1,2021-12-16,,0,1,2.9166666666666665,75.82,46-55,2-4 yr,Retained,$60-80,1-2 calls,5,Medium
CUST_000077,Female,34,Urban,21,Month-to-Month,79.45,1668.45,Bank Transfer (Automatic),Yes,Yes,No,DSL,No,Yes,No,Yes,No,Yes,1,,0,2023-02-09,,0,0,1.75,79.45,26-35,1-2 yr,Retained,$60-80,1-2 calls,4,Medium
CUST_000078,Male,40,Suburban,44,One Year,89.28,3928.32,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,1,7.9,0,2021-03-21,,0,1,3.6666666666666665,89.28,36-45,2-4 yr,Retained,$80-100,1-2 calls,4,Medium
CUST_000079,Male,74,Urban,32,Two Year,54.61,1747.52,Credit Card (Automatic),No,No,No Phone Service,DSL,No,No,Yes,No,No,No,3,8.8,0,2022-03-16,,0,1,2.6666666666666665,54.61,65+,2-4 yr,Retained,$40-60,3-4 calls,3,Low
CUST_000080,Male,20,Suburban,32,Month-to-Month,88.31,2825.92,Mailed Check,No,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,No,1,8.1,0,2022-03-16,2024-10-15,1,1,2.6666666666666665,88.31,18-25,2-4 yr,Churned,$80-100,1-2 calls,5,Medium
CUST_000081,Female,18,Rural,30,Month-to-Month,91.5,2745.0,Credit Card (Automatic),Yes,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,0,1.9,2,2022-05-15,,0,1,2.5,91.5,18-25,2-4 yr,Retained,$80-100,0 calls,6,Medium
CUST_000082,Female,53,Urban,43,Month-to-Month,67.69,2910.67,Credit Card (Automatic),No,Yes,Yes,DSL,No,No,No,Yes,Yes,No,1,,0,2021-04-20,,0,0,3.5833333333333335,67.69,46-55,2-4 yr,Retained,$60-80,1-2 calls,4,Medium
CUST_000083,Male,31,Rural,13,Two Year,75.94,987.22,Credit Card (Automatic),Yes,Yes,No,DSL,No,No,Yes,No,Yes,Yes,1,5.7,1,2023-10-07,,0,1,1.0833333333333333,75.94,26-35,1-2 yr,Retained,$60-80,1-2 calls,2,Low
CUST_000084,Male,37,Suburban,19,One Year,73.61,1398.59,Electronic Check,No,Yes,Yes,DSL,No,No,No,No,Yes,Yes,3,5.8,1,2023-04-10,,0,1,1.5833333333333333,73.61,36-45,1-2 yr,Retained,$60-80,3-4 calls,6,Medium
CUST_000085,Male,30,Urban,22,Month-to-Month,95.34,2097.48,Credit Card (Automatic),No,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,3,6.9,1,2023-01-10,,0,1,1.8333333333333333,95.34,26-35,1-2 yr,Retained,$80-100,3-4 calls,6,Medium
CUST_000086,Male,38,Suburban,18,Month-to-Month,94.33,1697.94,Electronic Check,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,1,3.6,1,2023-05-10,2024-10-16,1,1,1.5,94.33,36-45,1-2 yr,Churned,$80-100,1-2 calls,8,High
CUST_000087,Female,65,Suburban,21,Two Year,67.21,1411.41,Mailed Check,Yes,Yes,No,DSL,Yes,Yes,No,No,No,Yes,2,10.0,1,2023-02-09,,0,1,1.75,67.21000000000001,56-65,1-2 yr,Retained,$60-80,1-2 calls,1,Low
CUST_000088,Female,54,Urban,13,Two Year,73.69,957.97,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,2,10.0,1,2023-10-07,,0,1,1.0833333333333333,73.69,46-55,1-2 yr,Retained,$60-80,1-2 calls,2,Low
CUST_000089,Female,54,Urban,4,Month-to-Month,48.42,193.68,Bank Transfer (Automatic),Yes,Yes,Yes,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,,2,2024-07-03,,0,0,0.3333333333333333,48.42,46-55,0-6 mo,Retained,$40-60,1-2 calls,5,Medium
CUST_000090,Male,20,Urban,12,Month-to-Month,70.7,848.4,Bank Transfer (Automatic),Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,1,5.8,1,2023-11-06,,0,1,1.0,70.7,18-25,7-12 mo,Retained,$60-80,1-2 calls,6,Medium
CUST_000091,Male,24,Urban,49,One Year,45.87,2247.63,Bank Transfer (Automatic),No,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,8.5,1,2020-10-22,,0,1,4.083333333333333,45.870000000000005,18-25,4+ yr,Retained,$40-60,1-2 calls,1,Low
CUST_000092,Female,18,Urban,37,Month-to-Month,77.34,2861.58,Credit Card (Automatic),Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,No,2,5.4,1,2021-10-17,,0,1,3.0833333333333335,77.34,18-25,2-4 yr,Retained,$60-80,1-2 calls,4,Medium
CUST_000093,Female,29,Urban,12,Two Year,66.27,795.24,Mailed Check,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,1,9.3,1,2023-11-06,,0,1,1.0,66.27,26-35,7-12 mo,Retained,$60-80,1-2 calls,2,Low
