transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,payment_method,order_status,shipping_cost,discount_code,discount_amount,sales_channel,subtotal,total,transaction_month
TXN-0000029,2024-09-04,CUST-01070,PROD-0003,5,222.8,Bank Transfer,Completed,0.0,SUMMER20,222.8,Mobile App,1114.0,891.2,2024-09
TXN-0000030,2024-10-25,CUST-00654,PROD-0029,2,135.14,Credit Card,Completed,0.0,,0.0,Mobile App,270.28,270.28,2024-10
TXN-0000031,2024-09-01,CUST-00593,PROD-0022,1,116.23,Bank Transfer,Refunded,0.0,,0.0,Mobile App,116.23,116.23,2024-09
TXN-0000032,2024-10-16,CUST-00033,PROD-0054,4,13.0,Google Pay,Completed,5.99,SUMMER20,10.4,Marketplace,52.0,47.59,2024-10
TXN-0000033,2024-10-23,CUST-01032,PROD-0107,5,319.1,Debit Card,Processing,0.0,,0.0,Social Media,1595.5,1595.5,2024-10
TXN-0000034,2024-05-02,CUST-00012,PROD-0069,4,311.07,Credit Card,Completed,0.0,,0.0,Website,1244.28,1244.28,2024-05
TXN-0000035,2024-04-08,CUST-01132,PROD-0120,1,102.12,PayPal,Shipped,0.0,,0.0,Mobile App,102.12,102.12,2024-04
TXN-0000036,2024-07-20,CUST-00626,PROD-0047,1,472.38,Credit Card,Processing,0.0,,0.0,Mobile App,472.38,472.38,2024-07
TXN-0000037,2024-10-06,CUST-00426,PROD-0149,3,210.68,Debit Card,Completed,0.0,,0.0,Website,632.04,632.04,2024-10
TXN-0000038,2024-10-21,CUST-01109,PROD-0020,5,22.47,Credit Card,Completed,0.0,VIP25,28.09,Website,112.35,84.25999999999999,2024-10
TXN-0000039,2024-08-19,CUST-00028,PROD-0149,1,117.68,Debit Card,Completed,0.0,,0.0,Website,117.68,117.68,2024-08
TXN-0000040,2024-09-23,CUST-00734,PROD-0021,3,349.1,Google Pay,Cancelled,0.0,,0.0,In-Store,1047.3000000000002,1047.3000000000002,2024-09
TXN-0000041,2024-10-20,CUST-00693,PROD-0001,4,108.78,Credit Card,Cancelled,0.0,WELCOME15,65.27,Mobile App,435.12,369.85,2024-10
TXN-0000042,2024-09-16,CUST-00274,PROD-0143,4,36.41,PayPal,Completed,0.0,,0.0,Mobile App,145.64,145.64,2024-09
TXN-0000043,2024-10-25,CUST-00560,PROD-0017,2,312.67,Credit Card,Processing,0.0,,0.0,Marketplace,625.34,625.34,2024-10
TXN-0000044,2024-06-05,CUST-00798,PROD-0051,2,263.98,PayPal,Completed,0.0,,0.0,Website,527.96,527.96,2024-06
TXN-0000045,2024-10-10,CUST-00878,PROD-0014,2,383.01,PayPal,Completed,0.0,,0.0,Mobile App,766.02,766.02,2024-10
TXN-0000046,2024-08-23,CUST-00002,PROD-0059,4,388.58,Credit Card,Completed,0.0,,0.0,Mobile App,1554.32,1554.32,2024-08
TXN-0000047,2024-10-05,CUST-01119,PROD-0083,1,480.36,Debit Card,Cancelled,0.0,,0.0,Mobile App,480.36,480.36,2024-10
TXN-0000048,2024-09-13,CUST-00205,PROD-0050,2,37.93,Apple Pay,Completed,9.99,,0.0,Website,75.86,85.85,2024-09
TXN-0000049,2024-09-10,CUST-00293,PROD-0124,1,29.09,Credit Card,Cancelled,9.99,,0.0,In-Store,29.09,39.08,2024-09
TXN-0000050,2024-10-15,CUST-00330,PROD-0034,1,493.72,PayPal,Completed,0.0,,0.0,Website,493.72,493.72,2024-10
TXN-0000051,2024-04-01,CUST-00042,PROD-0006,1,325.97,PayPal,Completed,0.0,VIP25,81.49,Website,325.97,244.48000000000002,2024-04
TXN-0000052,2024-07-30,CUST-00149,PROD-0109,2,360.52,Credit Card,Shipped,0.0,,0.0,Mobile App,721.04,721.04,2024-07
TXN-0000053,2024-05-12,CUST-01187,PROD-0049,1,57.27,Google Pay,Completed,5.99,,0.0,Mobile App,57.27,63.260000000000005,2024-05
TXN-0000054,2024-06-14,CUST-00387,PROD-0006,1,44.2,Debit Card,Refunded,12.99,,0.0,Marketplace,44.2,57.190000000000005,2024-06
TXN-0000055,2024-09-03,CUST-00140,PROD-0117,3,88.51,Credit Card,Completed,0.0,,0.0,Marketplace,265.53000000000003,265.53000000000003,2024-09
TXN-0000056,2024-05-28,CUST-00131,PROD-0118,1,219.32,Credit Card,Completed,0.0,,0.0,Mobile App,219.32,219.32,2024-05
TXN-0000057,2024-10-22,CUST-00871,PROD-0007,1,63.98,Debit Card,Completed,12.99,,0.0,Website,63.98,76.97,2024-10
TXN-0000058,2024-10-14,CUST-01009,PROD-0097,1,228.69,PayPal,Completed,0.0,,0.0,Social Media,228.69,228.69,2024-10
TXN-0000059,2024-10-25,CUST-00321,PROD-0118,4,285.14,Debit Card,Completed,0.0,SAVE10,114.06,Website,1140.56,1026.5,2024-10
TXN-0000060,2024-10-04,CUST-00020,PROD-0129,2,10.15,PayPal,Processing,5.99,,0.0,Website,20.3,26.29,2024-10
TXN-0000061,2024-09-28,CUST-00282,PROD-0141,4,65.97,PayPal,Processing,0.0,,0.0,Website,263.88,263.88,2024-09
TXN-0000062,2024-10-09,CUST-00061,PROD-0027,5,193.84,Debit Card,Completed,0.0,,0.0,Mobile App,969.2,969.2,2024-10
TXN-0000063,2024-07-14,CUST-00128,PROD-0116,3,36.12,Debit Card,Processing,0.0,,0.0,Website,108.35999999999999,108.35999999999999,2024-07
TXN-0000064,2024-10-01,CUST-00563,PROD-0131,1,75.42,Bank Transfer,Completed,7.99,,0.0,Website,75.42,83.41,2024-10
TXN-0000065,2024-10-08,CUST-00291,PROD-0058,4,123.57,Google Pay,Refunded,0.0,,0.0,Mobile App,494.28,494.28,2024-10
TXN-0000066,2024-09-11,CUST-00652,PROD-0089,5,220.49,Debit Card,Completed,0.0,,0.0,Website,1102.45,1102.45,2024-09
TXN-0000067,2024-10-18,CUST-00313,PROD-0097,3,360.26,PayPal,Shipped,0.0,,0.0,Website,1080.78,1080.78,2024-10
TXN-0000068,2024-07-22,CUST-01124,PROD-0017,2,75.01,Credit Card,Refunded,0.0,WELCOME15,22.5,Website,150.02,127.52000000000001,2024-07
TXN-0000069,2024-10-23,CUST-01075,PROD-0101,2,371.59,Credit Card,Shipped,0.0,,0.0,Marketplace,743.18,743.18,2024-10
TXN-0000070,2024-02-10,CUST-00713,PROD-0029,5,428.97,PayPal,Completed,0.0,,0.0,In-Store,2144.8500000000004,2144.8500000000004,2024-02
TXN-0000071,2024-07-31,CUST-00441,PROD-0102,4,329.21,Debit Card,Completed,0.0,SUMMER20,263.37,Website,1316.84,1053.4699999999998,2024-07
TXN-0000072,2024-10-14,CUST-00477,PROD-0123,2,31.42,Credit Card,Completed,12.99,,0.0,Mobile App,62.84,75.83,2024-10
TXN-0000073,2024-10-27,CUST-00539,PROD-0054,1,225.91,PayPal,Shipped,0.0,,0.0,Social Media,225.91,225.91,2024-10
TXN-0000074,2024-07-18,CUST-00879,PROD-0027,3,333.42,Google Pay,Refunded,0.0,VIP25,250.06,Website,1000.26,750.2,2024-07
TXN-0000075,2024-08-15,CUST-00591,PROD-0102,3,489.46,Google Pay,Processing,0.0,,0.0,Marketplace,1468.3799999999999,1468.3799999999999,2024-08
TXN-0000076,2024-08-10,CUST-01010,PROD-0117,1,476.38,Debit Card,Shipped,0.0,,0.0,Social Media,476.38,476.38,2024-08
TXN-0000077,2024-07-31,CUST-01130,PROD-0104,2,203.88,Debit Card,Cancelled,0.0,,0.0,Website,407.76,407.76,2024-07
TXN-0000078,2024-10-23,CUST-00414,PROD-0045,1,311.8,Credit Card,Completed,0.0,SAVE10,31.18,Website,311.8,280.62,2024-10
TXN-0000079,2024-10-01,CUST-00705,PROD-0114,5,446.49,PayPal,Refunded,0.0,,0.0,Social Media,2232.45,2232.45,2024-10
TXN-0000080,2024-10-20,CUST-00117,PROD-0087,2,417.2,Google Pay,Completed,0.0,,0.0,Website,834.4,834.4,2024-10
TXN-0000081,2024-06-30,CUST-00253,PROD-0031,3,244.91,Apple Pay,Completed,0.0,,0.0,Website,734.73,734.73,2024-06
TXN-0000082,2024-08-30,CUST-00542,PROD-0037,3,138.0,PayPal,Shipped,0.0,,0.0,Mobile App,414.0,414.0,2024-08
TXN-0000083,2024-10-03,CUST-00257,PROD-0036,1,77.17,Credit Card,Cancelled,12.99,FLASH30,23.15,Website,77.17,67.01,2024-10
TXN-0000084,2024-10-24,CUST-01025,PROD-0119,5,249.1,Debit Card,Completed,0.0,,0.0,Social Media,1245.5,1245.5,2024-10
TXN-0000085,2024-10-05,CUST-00200,PROD-0005,1,364.18,Debit Card,Shipped,0.0,,0.0,Website,364.18,364.18,2024-10
TXN-0000086,2024-10-04,CUST-00593,PROD-0052,2,485.18,Apple Pay,Completed,0.0,VIP25,242.59,Website,970.36,727.77,2024-10
TXN-0000087,2024-08-10,CUST-00757,PROD-0049,2,432.28,Credit Card,Completed,0.0,,0.0,Marketplace,864.56,864.56,2024-08
TXN-0000088,2024-08-28,CUST-00841,PROD-0006,2,110.07,Debit Card,Processing,0.0,,0.0,Marketplace,220.14,220.14,2024-08
TXN-0000089,2024-06-19,CUST-00486,PROD-0123,2,362.68,Credit Card,Processing,0.0,,0.0,Social Media,725.36,725.36,2024-06
TXN-0000090,2024-09-19,CUST-01020,PROD-0138,2,151.65,PayPal,Completed,0.0,FLASH30,90.99,Mobile App,303.3,212.31,2024-09
TXN-0000091,2024-10-20,CUST-00719,PROD-0118,4,344.89,PayPal,Shipped,0.0,,0.0,In-Store,1379.56,1379.56,2024-10
TXN-0000092,2024-08-14,CUST-00573,PROD-0023,1,336.23,Debit Card,Shipped,0.0,,0.0,Mobile App,336.23,336.23,2024-08
TXN-0000093,2024-08-03,CUST-00078,PROD-0145,5,143.48,PayPal,Completed,0.0,WELCOME15,107.61,Marketplace,717.4,609.79,2024-08
TXN-0000094,2024-09-08,CUST-00600,PROD-0110,1,124.84,Debit Card,Shipped,0.0,,0.0,Website,124.84,124.84,2024-09
TXN-0000095,2024-07-31,CUST-00961,PROD-0044,4,60.92,Credit Card,Completed,0.0,,0.0,Social Media,243.68,243.68,2024-07
TXN-0000096,2024-09-17,CUST-00767,PROD-0041,2,34.75,Credit Card,Refunded,9.99,,0.0,Mobile App,69.5,79.49,2024-09
TXN-0000097,2024-09-13,CUST-00977,PROD-0143,3,430.63,Google Pay,Cancelled,0.0,,0.0,Website,1291.8899999999999,1291.8899999999999,2024-09
TXN-0000098,2024-09-24,CUST-00632,PROD-0050,1,34.42,Credit Card,Refunded,7.99,,0.0,Website,34.42,42.410000000000004,2024-09
TXN-0000099,2024-10-26,CUST-00147,PROD-0052,2,53.47,Credit Card,Completed,0.0,,0.0,Social Media,106.94,106.94,2024-10
TXN-0000100,2024-10-21,CUST-00013,PROD-0070,1,127.03,Credit Card,Completed,0.0,,0.0,Marketplace,127.03,127.03,2024-10
TXN-0000101,2024-10-26,CUST-00370,PROD-0109,2,444.94,Credit Card,Completed,0.0,FLASH30,266.96,Website,889.88,622.9200000000001,2024-10
TXN-0000102,2024-08-28,CUST-00845,PROD-0118,4,173.13,Debit Card,Processing,0.0,,0.0,Mobile App,692.52,692.52,2024-08
TXN-0000103,2024-10-05,CUST-00929,PROD-0109,1,103.97,Debit Card,Completed,0.0,,0.0,Marketplace,103.97,103.97,2024-10
TXN-0000104,2024-09-15,CUST-00364,PROD-0095,3,360.61,Bank Transfer,Cancelled,0.0,,0.0,Website,1081.83,1081.83,2024-09
TXN-0000105,2024-06-07,CUST-00633,PROD-0044,3,166.33,PayPal,Shipped,0.0,,0.0,Website,498.99,498.99,2024-06
TXN-0000106,2024-10-10,CUST-00550,PROD-0067,1,173.34,Credit Card,Completed,0.0,,0.0,Mobile App,173.34,173.34,2024-10
TXN-0000107,2024-09-26,CUST-00539,PROD-0067,1,372.09,PayPal,Completed,0.0,,0.0,Website,372.09,372.09,2024-09
TXN-0000108,2024-08-04,CUST-00291,PROD-0018,5,133.3,Apple Pay,Completed,0.0,,0.0,Website,666.5,666.5,2024-08
TXN-0000109,2024-10-12,CUST-00163,PROD-0060,3,449.4,Apple Pay,Refunded,0.0,,0.0,Website,1348.1999999999998,1348.1999999999998,2024-10
TXN-0000110,2024-10-23,CUST-00249,PROD-0074,1,285.09,Debit Card,Completed,0.0,SAVE10,28.51,Marketplace,285.09,256.58,2024-10
TXN-0000111,2024-10-07,CUST-00058,PROD-0049,2,273.53,Credit Card,Completed,0.0,,0.0,Website,547.06,547.06,2024-10
TXN-0000112,2024-10-17,CUST-00250,PROD-0015,1,139.72,Apple Pay,Processing,0.0,WELCOME15,20.96,Website,139.72,118.75999999999999,2024-10
TXN-0000113,2024-05-21,CUST-00012,PROD-0073,1,419.19,PayPal,Completed,0.0,,0.0,Website,419.19,419.19,2024-05
TXN-0000114,2024-07-20,CUST-00780,PROD-0143,1,290.64,Debit Card,Cancelled,0.0,,0.0,Website,290.64,290.64,2024-07
TXN-0000115,2024-08-28,CUST-00388,PROD-0048,2,86.19,Credit Card,Shipped,0.0,,0.0,Website,172.38,172.38,2024-08
TXN-0000116,2024-06-26,CUST-01167,PROD-0072,4,111.08,PayPal,Processing,0.0,,0.0,Website,444.32,444.32,2024-06
TXN-0000117,2024-07-22,CUST-00247,PROD-0113,3,239.44,Credit Card,Refunded,0.0,,0.0,Website,718.3199999999999,718.3199999999999,2024-07
TXN-0000118,2024-10-15,CUST-00428,PROD-0129,1,392.01,Credit Card,Completed,0.0,,0.0,Website,392.01,392.01,2024-10
TXN-0000119,2024-06-16,CUST-00444,PROD-0135,4,470.24,Credit Card,Refunded,0.0,,0.0,Website,1880.96,1880.96,2024-06
TXN-0000120,2024-09-11,CUST-00012,PROD-0053,2,335.1,Credit Card,Shipped,0.0,,0.0,Mobile App,670.2,670.2,2024-09
TXN-0000121,2024-07-21,CUST-00987,PROD-0018,3,258.0,Debit Card,Completed,0.0,,0.0,In-Store,774.0,774.0,2024-07
TXN-0000122,2024-06-14,CUST-00035,PROD-0012,2,132.85,Credit Card,Completed,0.0,,0.0,Mobile App,265.7,265.7,2024-06
TXN-0000123,2024-10-05,CUST-01124,PROD-0048,5,339.7,Credit Card,Completed,0.0,,0.0,Marketplace,1698.5,1698.5,2024-10
TXN-0000124,2024-10-21,CUST-01065,PROD-0030,1,491.29,Credit Card,Completed,0.0,,0.0,In-Store,491.29,491.29,2024-10
TXN-0000125,2024-10-12,CUST-00681,PROD-0097,2,243.34,Credit Card,Refunded,0.0,SUMMER20,97.34,Website,486.68,389.34000000000003,2024-10
TXN-0000126,2024-09-24,CUST-00689,PROD-0007,1,89.44,Debit Card,Shipped,9.99,,0.0,Mobile App,89.44,99.42999999999999,2024-09
TXN-0000127,2024-07-17,CUST-00801,PROD-0092,1,60.63,Credit Card,Processing,9.99,,0.0,Mobile App,60.63,70.62,2024-07
TXN-0000128,2024-07-01,CUST-00492,PROD-0113,3,141.93,Credit Card,Completed,0.0,,0.0,Website,425.79,425.79,2024-07
TXN-0000129,2024-10-27,CUST-00795,PROD-0003,3,289.02,Debit Card,Refunded,0.0,,0.0,Mobile App,867.06,867.06,2024-10
TXN-0000130,2024-09-15,CUST-00049,PROD-0107,1,473.92,Credit Card,Completed,0.0,,0.0,Mobile App,473.92,473.92,2024-09
TXN-0000131,2024-09-25,CUST-00056,PROD-0063,5,156.58,Credit Card,Completed,0.0,,0.0,Marketplace,782.9000000000001,782.9000000000001,2024-09
TXN-0000132,2024-10-12,CUST-00593,PROD-0134,2,159.63,Apple Pay,Cancelled,0.0,,0.0,Marketplace,319.26,319.26,2024-10
TXN-0000133,2024-10-20,CUST-00694,PROD-0102,1,245.77,Debit Card,Refunded,0.0,,0.0,Website,245.77,245.77,2024-10
TXN-0000134,2024-10-03,CUST-01060,PROD-0015,1,460.08,Apple Pay,Refunded,0.0,,0.0,Website,460.08,460.08,2024-10
TXN-0000135,2024-05-09,CUST-00130,PROD-0091,5,215.33,Debit Card,Refunded,0.0,,0.0,Website,1076.65,1076.65,2024-05
TXN-0000136,2024-10-04,CUST-00964,PROD-0081,5,119.37,Google Pay,Completed,0.0,,0.0,Website,596.85,596.85,2024-10
TXN-0000137,2024-09-14,CUST-00262,PROD-0146,3,89.92,Credit Card,Completed,0.0,,0.0,Mobile App,269.76,269.76,2024-09
TXN-0000138,2024-08-16,CUST-00506,PROD-0150,3,233.93,Debit Card,Completed,0.0,,0.0,Website,701.79,701.79,2024-08
TXN-0000139,2024-09-30,CUST-00388,PROD-0061,2,402.32,Debit Card,Completed,0.0,,0.0,In-Store,804.64,804.64,2024-09
TXN-0000140,2024-03-27,CUST-00523,PROD-0120,1,152.75,Google Pay,Shipped,0.0,,0.0,Website,152.75,152.75,2024-03
TXN-0000141,2024-04-14,CUST-00188,PROD-0061,2,261.13,Debit Card,Completed,0.0,VIP25,130.56,Website,522.26,391.7,2024-04
TXN-0000142,2024-10-10,CUST-00638,PROD-0053,5,305.46,Apple Pay,Refunded,0.0,,0.0,Marketplace,1527.3,1527.3,2024-10
TXN-0000143,2024-09-16,CUST-00948,PROD-0026,1,230.72,Debit Card,Refunded,0.0,,0.0,Mobile App,230.72,230.72,2024-09
TXN-0000144,2024-10-06,CUST-00576,PROD-0115,1,103.92,PayPal,Cancelled,0.0,,0.0,Mobile App,103.92,103.92,2024-10
TXN-0000145,2024-10-07,CUST-00627,PROD-0040,2,461.65,Apple Pay,Completed,0.0,,0.0,Mobile App,923.3,923.3,2024-10
TXN-0000146,2024-10-25,CUST-00998,PROD-0088,1,287.06,Bank Transfer,Shipped,0.0,,0.0,Website,287.06,287.06,2024-10
TXN-0000147,2024-09-01,CUST-00853,PROD-0116,2,367.27,PayPal,Completed,0.0,,0.0,Marketplace,734.54,734.54,2024-09
TXN-0000148,2024-09-16,CUST-00627,PROD-0136,1,321.65,Credit Card,Completed,0.0,WELCOME15,48.25,Mobile App,321.65,273.4,2024-09
TXN-0000149,2024-10-24,CUST-00321,PROD-0021,1,499.03,Credit Card,Completed,0.0,,0.0,Website,499.03,499.03,2024-10
TXN-0000150,2024-10-08,CUST-01045,PROD-0043,5,233.58,Credit Card,Shipped,0.0,,0.0,Website,1167.9,1167.9,2024-10
TXN-0000151,2024-06-06,CUST-00730,PROD-0021,4,218.23,Credit Card,Completed,0.0,,0.0,Marketplace,872.92,872.92,2024-06
TXN-0000152,2024-10-11,CUST-00277,PROD-0131,3,186.46,Credit Card,Cancelled,0.0,,0.0,Website,559.38,559.38,2024-10
TXN-0000153,2024-10-18,CUST-00336,PROD-0031,2,187.19,Debit Card,Shipped,0.0,,0.0,Marketplace,374.38,374.38,2024-10
TXN-0000154,2024-09-17,CUST-00948,PROD-0027,5,145.12,Apple Pay,Completed,0.0,,0.0,Mobile App,725.6,725.6,2024-09
TXN-0000155,2024-02-16,CUST-00049,PROD-0073,2,490.5,Credit Card,Refunded,0.0,,0.0,Website,981.0,981.0,2024-02
TXN-0000156,2024-10-11,CUST-01192,PROD-0097,1,436.67,Debit Card,Processing,0.0,SUMMER20,87.33,Website,436.67,349.34000000000003,2024-10
TXN-0000157,2024-08-22,CUST-00154,PROD-0090,3,165.16,Credit Card,Completed,0.0,SUMMER20,99.1,Marketplace,495.48,396.38,2024-08
TXN-0000158,2024-08-02,CUST-00936,PROD-0044,1,159.55,Apple Pay,Cancelled,0.0,,0.0,Mobile App,159.55,159.55,2024-08
TXN-0000159,2024-10-11,CUST-00506,PROD-0043,2,60.72,Credit Card,Completed,0.0,,0.0,Website,121.44,121.44,2024-10
TXN-0000160,2024-08-10,CUST-00631,PROD-0031,5,439.74,Debit Card,Completed,0.0,,0.0,Mobile App,2198.7,2198.7,2024-08
TXN-0000161,2024-09-30,CUST-01035,PROD-0117,1,192.16,Bank Transfer,Completed,0.0,,0.0,Mobile App,192.16,192.16,2024-09
TXN-0000162,2024-08-28,CUST-00542,PROD-0076,1,290.57,Credit Card,Refunded,0.0,,0.0,Website,290.57,290.57,2024-08
TXN-0000163,2024-08-28,CUST-00682,PROD-0145,1,451.18,PayPal,Completed,0.0,,0.0,Mobile App,451.18,451.18,2024-08
TXN-0000164,2024-09-11,CUST-00050,PROD-0143,4,209.96,Apple Pay,Completed,0.0,,0.0,Mobile App,839.84,839.84,2024-09
TXN-0000165,2024-10-22,CUST-00002,PROD-0034,2,405.36,Credit Card,Processing,0.0,,0.0,Website,810.72,810.72,2024-10
TXN-0000166,2024-07-11,CUST-00304,PROD-0080,1,220.83,Bank Transfer,Completed,0.0,,0.0,Marketplace,220.83,220.83,2024-07
TXN-0000167,2024-10-04,CUST-00832,PROD-0004,1,353.45,Apple Pay,Refunded,0.0,,0.0,Marketplace,353.45,353.45,2024-10
TXN-0000168,2024-10-15,CUST-00147,PROD-0072,2,221.27,Credit Card,Completed,0.0,,0.0,Website,442.54,442.54,2024-10
TXN-0000169,2024-10-25,CUST-00136,PROD-0098,5,202.44,Credit Card,Processing,0.0,,0.0,Website,1012.2,1012.2,2024-10
TXN-0000170,2024-09-04,CUST-00539,PROD-0110,3,495.44,Debit Card,Refunded,0.0,,0.0,Mobile App,1486.32,1486.32,2024-09
TXN-0000171,2024-08-21,CUST-00795,PROD-0028,3,310.04,Apple Pay,Completed,0.0,,0.0,Website,930.1200000000001,930.1200000000001,2024-08
TXN-0000172,2024-10-26,CUST-00858,PROD-0130,2,190.01,Credit Card,Shipped,0.0,,0.0,Marketplace,380.02,380.02,2024-10
TXN-0000173,2024-09-14,CUST-00228,PROD-0017,2,136.32,PayPal,Refunded,0.0,,0.0,Mobile App,272.64,272.64,2024-09
TXN-0000174,2024-10-12,CUST-00092,PROD-0058,1,29.48,Credit Card,Refunded,12.99,,0.0,Social Media,29.48,42.47,2024-10
TXN-0000175,2024-08-26,CUST-01124,PROD-0127,1,356.21,Apple Pay,Completed,0.0,,0.0,Mobile App,356.21,356.21,2024-08
TXN-0000176,2024-10-16,CUST-00326,PROD-0009,2,192.35,PayPal,Completed,0.0,,0.0,Website,384.7,384.7,2024-10
TXN-0000177,2024-08-18,CUST-01009,PROD-0031,4,412.4,Debit Card,Completed,0.0,VIP25,412.4,Mobile App,1649.6,1237.1999999999998,2024-08
TXN-0000178,2024-09-28,CUST-01015,PROD-0088,1,188.29,Debit Card,Completed,0.0,,0.0,Mobile App,188.29,188.29,2024-09
TXN-0000180,2024-10-19,CUST-00210,PROD-0019,1,391.79,Credit Card,Refunded,0.0,,0.0,Marketplace,391.79,391.79,2024-10
TXN-0000181,2024-10-02,CUST-00961,PROD-0081,1,249.83,PayPal,Processing,0.0,,0.0,Mobile App,249.83,249.83,2024-10
TXN-0000182,2024-10-20,CUST-00914,PROD-0107,2,443.59,Credit Card,Shipped,0.0,,0.0,Website,887.18,887.18,2024-10
TXN-0000183,2024-05-25,CUST-00747,PROD-0055,2,299.16,PayPal,Completed,0.0,,0.0,Mobile App,598.32,598.32,2024-05
TXN-0000184,2024-06-24,CUST-00417,PROD-0112,2,127.91,PayPal,Refunded,0.0,,0.0,Website,255.82,255.82,2024-06
TXN-0000185,2024-10-10,CUST-00328,PROD-0123,2,288.44,Debit Card,Completed,0.0,,0.0,Website,576.88,576.88,2024-10
TXN-0000186,2024-08-24,CUST-00147,PROD-0065,2,11.95,PayPal,Cancelled,9.99,,0.0,Website,23.9,33.89,2024-08
TXN-0000187,2024-07-18,CUST-00644,PROD-0124,2,163.06,Debit Card,Completed,0.0,,0.0,Website,326.12,326.12,2024-07
TXN-0000188,2024-09-09,CUST-00738,PROD-0003,2,111.89,Google Pay,Completed,0.0,,0.0,Social Media,223.78,223.78,2024-09
