PropertyID,Neighborhood,PropertyType,SquareFeet,Bedrooms,Bathrooms,YearBuilt,PropertyAge,LotSize,GarageCapacity,HasPool,HasFireplace,RenovationYear,YearsSinceRenovation,Condition,EnergyRating,SchoolRating,CrimeRate,DistanceToCenter,HOAFee,DaysOnMarket,ListingDate,Price
PROP_000035,Residential Park,Single Family,808.0,3,2.5,1991,33,0.73,3,0,0,2011,13,9.9,D,10.0,8,10.7,0,72,2024-07-04,306000
PROP_000036,University Area,Single Family,1273.0,2,2.5,1946,78,0.21,3,0,0,0,78,6.7,E,7.0,21,5.7,137,8,2024-08-31,250000
PROP_000037,Suburbs,Condo,1208.0,3,2.0,1983,41,0.0,1,0,0,0,41,8.0,E,7.0,3,13.3,233,59,2024-08-23,257000
PROP_000038,Midtown,Ranch,1918.0,4,3.0,1993,31,0.27,1,1,1,0,31,7.6,F,7.0,13,1.4,0,92,2024-06-04,527000
PROP_000039,Tech Hub,Single Family,1407.0,3,3.5,2014,10,0.06,2,0,1,0,10,10.0,A,8.0,15,4.4,0,2,2024-09-19,547000
PROP_000040,Suburbs,Condo,607.0,1,1.5,1941,83,0.0,0,1,0,2021,3,6.2,B,8.0,8,12.2,451,55,2024-07-12,114000
PROP_000041,Midtown,Single Family,1722.0,3,2.0,1979,45,0.16,1,0,1,0,45,7.6,D,6.0,21,1.4,0,46,2024-08-28,412000
PROP_000042,Suburbs,Ranch,1607.0,3,2.0,2014,10,0.08,0,0,0,2022,2,10.0,A,7.0,10,11.0,0,44,2024-07-30,330000
PROP_000043,Downtown,Single Family,500.0,1,1.0,2002,22,0.08,1,0,1,0,22,8.5,D,5.0,25,0.7,0,15,2024-10-10,125000
PROP_000044,Residential Park,Condo,1134.0,3,3.0,1973,51,0.0,2,0,1,2022,2,7.9,C,8.0,6,10.9,322,2,2024-09-07,366000
PROP_000045,Uptown,Townhouse,1191.0,3,3.0,2015,9,0.23,1,0,1,2012,12,10.0,A,8.0,15,4.5,232,4,2024-09-29,425000
PROP_000046,Tech Hub,Townhouse,1620.0,3,3.5,1992,32,0.2,0,0,0,0,32,7.4,F,9.0,12,4.2,218,14,2024-09-06,486000
PROP_000047,Suburbs,Condo,571.0,1,1.5,1992,32,0.0,2,0,1,2020,4,10.0,D,9.0,11,11.7,310,23,2024-09-01,138000
PROP_000048,Waterfront,Single Family,500.0,1,1.0,2022,2,0.91,0,1,0,2019,5,10.0,A,6.0,15,3.6,0,112,2024-05-20,217000
PROP_000049,Waterfront,Single Family,1539.0,3,2.5,2021,3,0.05,3,1,1,0,3,7.8,A,7.0,15,4.2,103,51,2024-08-06,608000
PROP_000050,Midtown,Single Family,1545.0,4,3.5,1980,44,0.54,1,0,0,0,44,7.4,F,7.0,20,3.4,0,1,2024-09-28,425000
PROP_000051,Residential Park,Single Family,554.0,1,1.0,1954,70,0.26,2,1,1,0,70,8.3,E,8.0,3,10.6,100,113,2024-06-05,146000
PROP_000052,University Area,Condo,606.0,3,2.5,1977,47,0.0,1,0,0,0,47,6.5,E,6.0,25,6.9,480,57,2024-08-10,139000
PROP_000053,Residential Park,Single Family,2777.0,6,5.0,1928,96,0.11,0,0,0,0,96,4.6,F,10.0,4,11.7,114,30,2024-09-03,509000
PROP_000054,Industrial,Single Family,1247.0,3,3.0,1925,99,0.2,1,0,0,2002,22,6.1,E,4.0,31,7.2,0,27,2024-09-06,145000
PROP_000055,Historic District,Townhouse,1455.0,3,2.0,1983,41,0.35,2,0,1,0,41,5.6,D,7.0,12,0.8,282,121,2024-05-29,418000
PROP_000056,Residential Park,Ranch,1339.0,2,1.5,2020,4,0.08,2,1,1,0,4,10.0,A,9.0,3,10.4,0,35,2024-09-24,368000
PROP_000057,Midtown,Condo,500.0,1,1.0,2016,8,0.0,2,0,1,0,8,8.6,A,7.0,20,2.8,575,31,2024-08-16,140000
PROP_000058,Midtown,Single Family,1314.0,3,2.5,1993,31,0.35,0,1,1,0,31,7.7,F,6.0,17,1.0,0,67,2024-08-21,361000
PROP_000059,Downtown,Single Family,1267.0,3,2.0,1997,27,0.18,1,1,0,2015,9,8.7,F,7.0,24,0.9,0,40,2024-08-20,473000
PROP_000060,Suburbs,Ranch,1440.0,2,1.0,1921,103,0.6,1,0,1,2019,5,5.6,C,8.0,10,11.5,140,12,2024-10-09,224000
PROP_000061,Suburbs,Single Family,1342.0,2,1.0,1965,59,0.61,0,0,0,2019,5,7.7,D,7.0,8,12.9,0,305,2023-12-26,230000
PROP_000062,Uptown,Single Family,1532.0,3,2.0,1926,98,0.19,1,0,1,2021,3,6.8,B,7.0,11,3.8,0,14,2024-10-16,323000
PROP_000063,University Area,Condo,854.0,2,2.5,2010,14,0.0,3,0,1,2009,15,9.7,E,6.0,15,7.7,502,51,2024-08-29,275000
PROP_000064,Suburbs,Condo,520.0,2,1.5,1955,69,0.0,2,0,0,0,69,6.3,E,7.0,7,11.2,365,30,2024-10-01,102000
PROP_000065,Uptown,Condo,1045.0,1,1.0,2016,8,0.0,2,0,1,2022,2,10.0,A,9.0,14,5.4,448,5,2024-09-30,358000
PROP_000066,Waterfront,Single Family,500.0,1,1.0,2002,22,0.14,2,0,1,0,22,7.7,E,8.0,13,3.2,0,143,2024-05-02,160000
PROP_000067,Midtown,Single Family,500.0,1,1.5,1967,57,0.28,2,1,0,0,57,4.7,E,6.0,18,3.6,151,18,2024-09-02,131000
PROP_000068,University Area,Ranch,1895.0,3,2.5,1957,67,0.3,1,0,0,0,67,5.2,E,6.0,25,7.4,0,48,2024-08-30,275000
PROP_000069,Downtown,Single Family,1653.0,3,3.5,2001,23,0.19,2,0,0,0,23,8.7,F,7.0,29,0.2,0,60,2024-07-29,494000
PROP_000070,Residential Park,Townhouse,1179.0,2,2.5,2018,6,0.05,2,0,1,0,6,8.5,A,9.0,3,9.2,170,22,2024-09-10,325000
PROP_000071,University Area,Townhouse,711.0,1,1.0,2007,17,0.06,1,0,0,0,17,7.9,F,5.0,22,7.1,218,13,2024-10-13,112000
PROP_000072,Midtown,Condo,687.0,1,1.0,1979,45,0.0,1,0,0,0,45,8.0,D,8.0,17,1.6,423,2,2024-09-26,163000
PROP_000073,Downtown,Single Family,1268.0,2,1.5,1998,26,0.61,3,0,0,2013,11,9.5,E,6.0,21,2.3,0,136,2024-05-28,475000
PROP_000074,University Area,Single Family,602.0,1,1.0,1975,49,0.34,2,0,0,0,49,7.3,D,5.0,15,5.2,0,39,2024-08-22,110000
PROP_000075,Tech Hub,Condo,678.0,2,1.0,2023,1,0.0,1,0,1,0,1,10.0,A,8.0,19,5.0,398,56,2024-07-11,259000
PROP_000076,Tech Hub,Multi-Family,2391.0,6,5.0,2009,15,0.27,2,0,0,2023,1,10.0,D,9.0,16,4.0,0,28,2024-08-10,957000
PROP_000077,University Area,Ranch,2170.0,5,5.0,2000,24,0.07,1,0,1,0,24,7.2,F,5.0,16,6.0,96,11,2024-10-01,478000
PROP_000078,Downtown,Single Family,1190.0,1,1.0,1986,38,0.17,1,0,0,0,38,8.3,E,5.0,30,1.1,0,242,2024-01-29,281000
PROP_000079,Suburbs,Single Family,1778.0,4,3.5,2000,24,0.36,1,0,0,0,24,8.1,D,8.0,5,13.0,0,154,2024-05-22,367000
PROP_000080,Midtown,Ranch,834.0,2,2.0,1978,46,0.23,1,0,0,0,46,6.5,F,7.0,21,3.2,0,88,2024-06-14,164000
PROP_000081,Industrial,Townhouse,1430.0,3,2.5,1928,96,,2,0,1,2000,24,7.0,F,4.0,25,9.5,288,111,2024-06-06,195000
PROP_000082,Historic District,Multi-Family,1517.0,3,3.5,1983,41,0.92,2,1,0,0,41,7.0,F,8.0,17,0.8,0,38,2024-09-18,417000
PROP_000083,Suburbs,Single Family,1553.0,3,3.0,2020,4,0.56,2,0,0,2009,15,10.0,A,9.0,4,13.3,160,20,2024-10-02,408000
PROP_000084,Downtown,Condo,825.0,2,2.5,2001,23,0.0,1,0,0,2004,20,8.9,F,6.0,27,0.3,526,18,2024-08-22,302000
PROP_000085,Suburbs,Townhouse,1662.0,3,3.5,1943,81,0.29,2,0,0,0,81,4.5,E,8.0,4,11.4,156,122,2024-06-23,297000
PROP_000086,Suburbs,Townhouse,893.0,1,1.0,2017,7,0.77,1,0,1,0,7,8.7,A,8.0,9,11.8,260,143,2024-05-09,188000
PROP_000087,Tech Hub,Condo,1088.0,2,2.5,1971,53,0.0,1,0,1,2005,19,8.0,F,9.0,11,6.6,257,26,2024-08-08,392000
PROP_000088,Tech Hub,Single Family,1260.0,3,2.0,1969,55,0.21,3,0,0,0,55,5.8,E,9.0,12,5.9,0,42,2024-09-04,372000
PROP_000089,Industrial,Condo,852.0,2,1.0,1974,50,0.0,1,0,0,2008,16,,E,5.0,35,8.8,381,73,2024-07-19,129000
PROP_000090,Suburbs,Single Family,1308.0,3,3.5,1997,27,0.16,1,0,1,0,27,7.5,F,8.0,3,12.8,0,54,2024-08-01,274000
PROP_000091,Midtown,Condo,646.0,1,1.0,1995,29,0.0,1,0,0,2022,2,9.5,D,6.0,22,2.2,373,91,2024-06-15,182000
PROP_000092,Tech Hub,Ranch,1594.0,3,2.5,1991,33,0.14,1,0,0,0,33,9.3,D,7.0,9,5.3,0,42,2024-08-31,495000
PROP_000093,University Area,Single Family,1368.0,3,2.0,2007,17,0.05,2,1,0,2005,19,10.0,F,5.0,25,5.4,0,39,2024-09-03,387000
PROP_000094,Historic District,Multi-Family,2144.0,5,4.5,1976,48,0.05,3,0,0,0,48,,D,6.0,19,1.5,0,21,2024-10-08,509000
PROP_000095,University Area,Single Family,1442.0,3,2.5,2011,13,0.05,2,1,0,2016,8,10.0,A,,25,6.5,0,3,2024-10-15,396000
PROP_000096,Suburbs,Townhouse,1479.0,3,2.0,1959,65,0.16,2,0,0,0,65,5.7,D,9.0,10,12.8,185,2,2024-10-09,254000
PROP_000097,Waterfront,Ranch,1969.0,4,3.0,2011,13,0.38,2,0,0,2006,18,10.0,A,8.0,12,2.2,0,7,2024-10-17,873000
PROP_000098,Suburbs,Single Family,874.0,1,1.0,2003,21,0.07,2,0,0,0,21,8.9,D,7.0,4,12.0,174,2,2024-09-08,142000
PROP_000099,Downtown,Single Family,1834.0,4,3.5,2005,19,0.31,0,0,1,2015,9,10.0,D,7.0,23,0.5,141,34,2024-08-04,699000
PROP_000100,Midtown,Condo,544.0,1,1.0,1991,33,0.0,3,0,1,0,33,6.8,D,6.0,14,2.5,592,23,2024-08-24,170000
PROP_000101,Downtown,Single Family,1693.0,4,3.5,2004,20,0.09,1,0,1,2005,19,10.0,F,6.0,27,1.6,0,1,2024-10-07,657000
PROP_000102,Tech Hub,Townhouse,1416.0,3,3.5,1942,82,0.28,3,0,1,0,82,3.0,F,7.0,15,5.9,105,1,2024-09-14,368000
PROP_000103,Suburbs,Ranch,835.0,2,1.0,2015,9,0.35,0,0,0,2002,22,10.0,A,9.0,9,12.7,95,33,2024-09-08,160000
PROP_000104,Waterfront,Condo,927.0,1,1.0,1935,89,0.0,2,0,0,2007,17,5.2,F,8.0,14,2.9,266,35,2024-08-16,303000
PROP_000105,Residential Park,Single Family,1165.0,3,2.5,1955,69,0.12,2,0,1,2006,18,7.3,E,10.0,3,11.5,0,1,2024-09-29,301000
PROP_000106,Uptown,Condo,672.0,1,1.0,1997,27,0.0,3,0,0,2016,8,9.4,D,8.0,17,5.4,470,49,2024-08-27,205000
PROP_000107,Suburbs,Townhouse,1672.0,3,2.0,2009,15,1.14,2,0,0,0,15,10.0,D,7.0,7,11.6,169,6,2024-09-16,411000
PROP_000108,University Area,Single Family,1073.0,2,2.5,1941,83,0.17,1,0,0,0,83,5.0,F,6.0,15,7.0,0,30,2024-08-05,172000
PROP_000109,Uptown,Condo,658.0,1,1.0,2019,5,0.0,2,0,0,2013,11,10.0,A,8.0,16,5.7,505,7,2024-09-04,215000
PROP_000110,Downtown,Condo,922.0,2,2.0,2022,2,0.0,1,0,1,0,2,9.0,A,5.0,30,0.8,551,1,2024-10-27,345000
PROP_000111,Uptown,Condo,1105.0,3,3.5,1999,25,0.0,1,0,1,0,25,9.7,E,9.0,10,5.8,220,10,2024-09-10,424000
PROP_000112,Midtown,Single Family,1329.0,2,1.0,1991,33,0.24,1,0,1,2004,20,9.9,F,8.0,16,1.1,0,28,2024-09-11,388000
PROP_000113,Residential Park,Townhouse,1608.0,4,4.5,2009,15,0.12,1,0,1,2018,6,10.0,C,10.0,1,10.5,241,61,2024-07-06,636000
PROP_000114,University Area,Single Family,1665.0,4,3.0,1977,47,0.05,2,0,0,0,47,6.7,E,7.0,21,5.8,0,13,2024-09-13,320000
PROP_000115,Tech Hub,Single Family,500.0,1,1.0,1992,32,0.19,3,0,1,2006,18,9.6,E,8.0,13,4.8,116,51,2024-07-21,182000
PROP_000116,Industrial,Multi-Family,1682.0,3,2.5,2019,5,0.05,3,0,0,0,5,10.0,A,4.0,25,9.6,0,89,2024-07-13,291000
PROP_000117,University Area,Townhouse,1003.0,2,2.0,2021,3,0.15,0,0,1,2011,13,10.0,A,5.0,19,5.9,281,14,2024-09-23,262000
PROP_000118,Midtown,Single Family,1639.0,3,2.0,2019,5,0.05,0,1,0,0,5,8.7,A,6.0,20,1.1,52,33,2024-09-25,480000
PROP_000119,Industrial,Single Family,500.0,2,2.0,1971,53,0.05,1,0,1,0,53,5.8,D,5.0,34,8.6,107,23,2024-09-29,64000
PROP_000120,Waterfront,Single Family,2674.0,5,4.0,1967,57,,1,0,1,2023,1,7.6,B,8.0,12,4.9,0,1,2024-10-07,919000
PROP_000121,University Area,Single Family,1665.0,4,3.0,1974,50,0.74,0,0,0,2020,4,9.0,B,7.0,16,5.2,0,22,2024-09-05,371000
PROP_000122,Industrial,Single Family,1474.0,3,3.0,1987,37,0.07,1,0,0,2015,9,10.0,E,4.0,25,7.9,0,21,2024-08-22,250000
PROP_000123,Suburbs,Single Family,1990.0,3,3.5,1975,49,0.23,2,0,0,2022,2,7.4,B,9.0,4,12.4,114,43,2024-09-05,425000
PROP_000124,Midtown,Condo,1603.0,3,3.0,1981,43,0.0,2,0,0,0,43,6.1,F,7.0,18,3.5,555,90,2024-07-14,475000
PROP_000125,Uptown,Townhouse,1504.0,2,2.0,2000,24,0.2,2,0,0,2014,10,10.0,D,9.0,11,3.8,152,50,2024-07-28,497000
PROP_000126,Suburbs,Condo,1184.0,2,2.5,2010,14,0.0,1,1,1,0,14,9.6,F,9.0,6,12.0,520,19,2024-08-22,328000
PROP_000127,University Area,Townhouse,1245.0,1,1.5,2008,16,0.09,2,0,0,2011,13,10.0,D,7.0,22,6.2,271,26,2024-08-12,274000
PROP_000128,Industrial,Single Family,1329.0,3,2.5,2013,11,0.36,2,0,0,0,11,8.9,A,4.0,29,8.1,132,98,2024-07-12,219000
PROP_000129,Downtown,Ranch,1409.0,4,4.0,1929,95,0.05,1,0,1,0,95,2.9,D,6.0,23,0.1,0,45,2024-08-09,268000
PROP_000130,Waterfront,Multi-Family,1504.0,3,2.5,1933,91,0.05,0,0,0,2000,24,6.7,F,6.0,15,4.7,0,22,2024-10-01,374000
PROP_000131,Suburbs,Multi-Family,1587.0,2,1.5,2012,12,0.44,1,0,0,0,12,9.1,A,8.0,10,13.4,187,41,2024-07-25,270000
PROP_000132,Uptown,Multi-Family,1189.0,2,1.0,1994,30,0.33,0,0,1,2004,20,,D,7.0,7,5.9,0,46,2024-08-13,255000
PROP_000133,Midtown,Ranch,1569.0,3,2.5,1997,27,0.21,1,0,1,0,27,7.0,F,7.0,21,2.1,108,29,2024-09-13,396000
PROP_000134,Suburbs,Condo,500.0,1,1.0,1934,90,0.0,1,0,0,0,90,3.6,D,8.0,4,11.1,215,90,2024-07-31,62000
PROP_000135,Residential Park,Single Family,1495.0,3,3.0,1970,54,0.21,1,0,0,0,54,6.1,E,8.0,8,9.3,0,75,2024-08-06,298000
PROP_000136,Suburbs,Condo,889.0,2,1.0,2002,22,0.0,1,0,0,0,22,9.4,E,7.0,11,12.1,450,33,2024-08-09,200000
PROP_000137,Waterfront,Townhouse,1251.0,2,1.0,2016,8,0.15,2,0,0,0,8,10.0,A,8.0,14,4.7,134,143,2024-04-24,553000
PROP_000138,Tech Hub,Townhouse,1017.0,2,1.0,2019,5,0.21,0,0,0,0,5,8.5,A,8.0,16,6.9,146,137,2024-05-09,310000
PROP_000139,Suburbs,Condo,1823.0,4,4.5,1992,32,0.0,2,0,1,0,32,8.9,E,8.0,11,13.5,430,152,2024-05-21,483000
PROP_000140,Residential Park,Single Family,2080.0,5,5.0,1995,29,0.35,1,0,1,0,29,8.8,D,9.0,4,9.7,95,11,2024-09-09,572000
PROP_000141,Residential Park,Single Family,777.0,3,3.5,2014,10,0.37,0,0,0,2015,9,10.0,A,9.0,11,11.0,185,4,2024-10-06,269000
PROP_000142,Uptown,Ranch,1693.0,3,3.0,1995,29,0.14,2,1,0,0,29,8.8,F,8.0,8,4.8,0,43,2024-08-15,499000
PROP_000143,Suburbs,Condo,717.0,3,2.5,1993,31,0.0,2,0,0,0,31,7.1,D,9.0,5,13.5,293,58,2024-07-26,201000
PROP_000144,Suburbs,Condo,595.0,1,1.0,2018,6,0.0,0,1,0,2016,8,10.0,A,9.0,10,12.5,592,16,2024-09-15,153000
PROP_000145,Uptown,Single Family,729.0,1,1.0,2012,12,0.23,2,0,1,0,12,10.0,A,9.0,11,4.0,0,34,2024-08-03,195000
PROP_000146,Downtown,Single Family,1616.0,3,3.0,2018,6,0.18,2,0,1,0,6,9.8,A,6.0,30,0.1,88,46,2024-09-09,539000
PROP_000147,Historic District,Multi-Family,1591.0,3,3.5,1965,59,0.66,1,0,0,2013,11,7.7,D,6.0,13,2.9,0,28,2024-09-25,548000
PROP_000148,Waterfront,Townhouse,1538.0,3,3.5,1994,30,0.36,1,0,0,0,30,6.7,D,6.0,7,3.6,135,35,2024-08-07,543000
PROP_000149,Downtown,Townhouse,1547.0,2,2.5,2015,9,0.69,2,0,1,0,9,9.5,A,6.0,30,1.1,299,3,2024-09-22,534000
PROP_000150,Uptown,Condo,1312.0,3,2.0,1950,74,0.0,1,0,0,2000,24,8.1,F,9.0,9,5.9,407,230,2024-02-23,380000
PROP_000151,Residential Park,Condo,644.0,2,2.0,2012,12,0.0,1,1,0,0,12,8.5,A,8.0,10,10.5,375,21,2024-10-02,236000
PROP_000152,Uptown,Single Family,1637.0,3,2.5,1960,64,0.3,1,0,0,0,64,6.3,D,7.0,16,3.9,71,10,2024-10-06,362000
PROP_000153,Midtown,Townhouse,1421.0,3,2.0,2013,11,0.99,2,1,0,2012,12,10.0,A,8.0,19,2.0,263,29,2024-08-12,555000
PROP_000154,Suburbs,Condo,757.0,2,1.5,2000,24,0.0,3,0,0,2008,16,10.0,D,8.0,13,11.0,596,17,2024-09-24,204000
PROP_000155,Residential Park,Condo,668.0,2,1.0,1962,62,0.0,2,1,1,0,62,6.4,D,9.0,8,9.4,209,22,2024-10-01,208000
PROP_000156,Uptown,Condo,1382.0,2,1.5,1990,34,0.0,2,0,0,0,34,5.8,E,8.0,11,3.1,453,37,2024-09-13,386000
PROP_000157,Tech Hub,Ranch,1690.0,4,3.5,2005,19,1.23,3,0,0,2004,20,10.0,D,8.0,16,4.7,125,14,2024-09-21,695000
PROP_000158,University Area,Single Family,1717.0,3,2.0,2001,23,0.16,2,0,1,2023,1,10.0,D,6.0,23,5.2,50,49,2024-07-23,404000
PROP_000159,Uptown,Multi-Family,1506.0,3,3.5,1986,38,0.07,2,1,0,0,38,7.3,F,7.0,10,4.0,189,25,2024-08-21,377000
PROP_000160,Tech Hub,Single Family,790.0,2,1.0,2018,6,0.22,3,0,0,0,6,9.6,A,9.0,10,4.4,63,3,2024-09-09,301000
PROP_000161,Suburbs,Condo,729.0,1,1.0,1993,31,0.0,0,0,0,2011,13,9.8,E,7.0,7,13.8,527,98,2024-07-17,124000
PROP_000162,Tech Hub,Single Family,1337.0,2,2.0,1992,32,0.11,2,0,0,0,32,9.8,F,7.0,10,6.8,0,29,2024-09-06,396000
PROP_000163,Tech Hub,Single Family,867.0,1,1.0,1937,87,0.38,2,0,1,0,87,4.6,E,7.0,18,5.8,0,115,2024-06-11,193000
PROP_000164,Waterfront,Condo,897.0,2,1.5,2019,5,0.0,3,0,0,0,5,8.4,A,8.0,6,4.4,382,21,2024-09-06,428000
PROP_000165,Midtown,Single Family,555.0,2,2.5,1959,65,0.68,2,0,1,2019,5,6.8,D,6.0,18,3.0,0,35,2024-08-15,168000
PROP_000166,University Area,Condo,563.0,1,1.0,1994,30,0.0,2,0,1,0,30,8.1,E,5.0,24,7.4,531,93,2024-06-23,117000
PROP_000167,Suburbs,Ranch,1868.0,3,2.0,2012,12,0.12,3,0,0,0,12,10.0,A,8.0,13,12.9,0,27,2024-09-03,383000
PROP_000168,Midtown,Single Family,1701.0,3,2.5,1965,59,0.14,2,0,0,2023,1,8.7,B,8.0,22,2.3,0,45,2024-08-07,447000
PROP_000169,Downtown,Townhouse,1062.0,1,1.0,1994,30,0.15,0,0,0,0,30,9.0,E,6.0,20,2.1,137,12,2024-10-17,279000
PROP_000170,Historic District,Condo,594.0,1,1.0,1968,56,0.0,0,1,0,2017,7,7.1,D,7.0,11,1.8,569,12,2024-08-25,216000
PROP_000171,Tech Hub,Townhouse,840.0,2,1.5,2010,14,0.43,2,0,0,0,14,9.7,D,7.0,13,5.2,200,35,2024-09-18,310000
PROP_000172,Downtown,Single Family,1213.0,2,2.5,1997,27,0.14,1,0,0,0,27,7.5,E,6.0,29,1.4,0,42,2024-09-17,324000
PROP_000173,Waterfront,Single Family,1722.0,4,4.0,2015,9,0.64,1,0,1,0,9,9.3,A,6.0,9,4.8,0,47,2024-07-26,719000
PROP_000174,Uptown,Single Family,1864.0,4,3.0,2018,6,0.78,1,1,0,2010,14,10.0,A,8.0,16,4.3,0,65,2024-07-23,728000
PROP_000175,Tech Hub,Single Family,1151.0,2,2.5,2002,22,0.05,3,0,0,0,22,8.0,D,9.0,11,5.7,0,115,2024-06-26,399000
PROP_000176,Midtown,Single Family,823.0,2,1.5,2008,16,1.34,1,0,0,2019,5,9.5,B,8.0,17,2.5,144,12,2024-09-01,265000
